MTGDATE,RESID
1969-01-01,0.0
1969-02-01,0.0
1969-03-01,-0.21391372576070408
1969-04-01,0.5190648074109592
1969-05-01,0.2341772458455585
1969-06-01,0.013280440437110547
1969-07-01,0.0
1969-08-01,0.32503210015740636
1969-09-01,0.03946439550200803
1969-10-01,0.16500743604364643
1969-11-01,0.051656978891521474
1969-12-01,0.08395694406297027
1970-01-01,-0.10425815628737942
1970-02-01,-0.37240831906664884
1970-03-01,-0.07826957716033921
1970-04-01,-0.11370098621614164
1970-05-01,0.29439359855695235
1970-06-01,-0.1429279830143928
1970-07-01,-0.2007718615362957
1970-08-01,-0.4368283722545127
1970-09-01,-0.22666043991623147
1970-10-01,-0.05389786838891897
1970-11-01,-0.4067920111691329
1970-12-01,-0.2424846855658942
1971-01-01,-0.6447370560836088
1971-02-01,-0.11741770706228333
1971-03-01,-0.053314400745437474
1971-04-01,0.5020656820321173
1971-05-01,0.04189848870570442
1971-06-01,0.3244741901250744
1971-07-01,-0.09686560107362321
1971-08-01,0.0
1971-09-01,0.0
1971-10-01,-0.2993243600852191
1971-11-01,-0.3011987488293031
1971-12-01,-0.8669475044904145
1972-01-01,-0.32631183410878317
1972-02-01,-0.12960647077618445
1972-03-01,0.21294747376745898
1972-04-01,-0.1406793113723051
1972-05-01,-0.07853080497294884
1972-06-01,-0.08539458991294885
1972-07-01,0.0
1972-08-01,-0.0746834595325902
1972-09-01,-0.030812825462401078
1972-10-01,-0.06155447888262827
1972-11-01,0.03168150553925393
1972-12-01,0.019362317821176728
1973-01-01,0.31637958536417476
1973-02-01,0.18750174259279823
1973-03-01,0.02401752684697464
1973-04-01,-0.04353742654381754
1973-05-01,0.3260692438745294
1973-06-01,0.3807907094447246
1973-07-01,0.14912116453723967
1973-08-01,0.25837818145071095
1973-09-01,-0.5355907108744355
1973-10-01,-0.8174002080061252
1973-11-01,-0.07978208832408636
1973-12-01,-0.22678802299772194
1974-01-01,-0.23702145020407622
1974-02-01,0.17938033522769187
1974-03-01,0.7886112612849878
1974-04-01,0.4210204626039584
1974-05-01,0.3784055218952803
1974-06-01,0.2931181586138116
1974-07-01,-0.1501667653501581
1974-08-01,-0.052629498740311476
1974-09-01,-0.39918507127379743
1974-10-01,-0.3882314825319345
1974-11-01,0.19491797307477798
1974-12-01,-0.27036953240803097
1975-01-01,-0.38530667068870195
1975-02-01,0.23124874805437057
1975-03-01,-0.4888805602611222
1975-04-01,-0.5716942252228655
1975-05-01,0.13840612638482938
1975-06-01,0.1885027535423858
1975-07-01,0.011960118458308772
1975-08-01,-0.16582579578892936
1975-09-01,-0.04135931447489222
1975-10-01,-0.2368085166569589
1975-11-01,-0.3372891562892913
1975-12-01,0.1686495765824118
1976-01-01,-0.09910438744798485
1976-02-01,-0.45311712734655074
1976-03-01,-0.2385644498887174
1976-04-01,0.0473458634562178
1976-05-01,-0.19742931167729105
1976-06-01,-0.028795171831703298
1976-07-01,-0.16001190645841054
1976-08-01,-0.08769858817605193
