MTGDATE,RESID
1969-01-01,-0.2203723184972948
1969-04-01,0.7139341819988796
1969-07-01,0.3418874951198555
1969-10-01,0.23137408003266202
1970-01-01,-0.578613833435486
1970-04-01,-0.014885621776956737
1970-07-01,-0.8993546930927167
1970-10-01,-0.595450617513464
1971-01-01,-0.8610180894406468
1971-04-01,0.8981275752300323
1971-07-01,-0.10246977338603808
1971-10-01,-1.5172712651699563
1972-01-01,-0.18988301783111203
1972-04-01,-0.36061319050811996
1972-07-01,-0.13576898715189925
1972-10-01,-0.06570860741317334
1973-01-01,0.4921160787565879
1973-04-01,0.5644865705699826
1973-07-01,-0.23878750960504824
1973-10-01,-1.160667530553855
1974-01-01,0.7537984933714715
1974-04-01,0.9808795944749213
1974-07-01,-0.5889565810069571
1974-10-01,-0.2970867560364921
1975-01-01,-0.6104229514378189
1975-04-01,-0.24103837045635154
1975-07-01,-0.21010992613626744
1975-10-01,-0.3185706825563315
1976-01-01,-0.7843577947039879
1976-04-01,-0.16029607446237143
1976-07-01,-0.2142699677741662
1976-10-01,-0.21543909690958585
1977-01-01,-0.5178212466904617
1977-04-01,-0.39331974916775136
1977-07-01,-0.20854083607921836
1977-10-01,-0.2382101008080929
1978-01-01,-0.19044752808008872
1978-04-01,-0.19826798804270024
1978-07-01,-0.40444645962950754
1978-10-01,0.24254976590421437
1979-01-01,-0.10197509972252247
1979-04-01,-0.04192998231263305
1979-07-01,0.9449723371167182
1979-10-01,0.13633467779456326
1980-01-01,1.8571747419328588
1980-04-01,-4.065347443521912
1980-07-01,1.2026550449493447
1980-10-01,2.479140741161779
1981-01-01,-0.4145700243766851
1981-04-01,1.5291679510482437
1981-07-01,-0.7389541267943283
1981-10-01,-0.8285226408739779
1982-01-01,0.5872155650622872
1982-04-01,-0.11184946458208278
1982-07-01,-0.44784655198920903
1982-10-01,0.42595161117031344
1983-01-01,0.30077481999855726
1983-04-01,-0.009912484577938363
1983-07-01,-0.18759953585134898
1983-10-01,0.20480373122022505
1984-01-01,0.11599255881653431
1984-04-01,0.10229292791856867
1984-07-01,0.258666384304263
1984-10-01,-0.7891784629461454
1985-01-01,0.08306444799775219
1985-04-01,-0.16183832182568259
1985-07-01,0.24225709039817436
1985-10-01,0.03706846551002321
1986-01-01,-0.08835186066432642
1986-04-01,0.28437284573959776
1986-07-01,-0.40029745580355375
1986-10-01,0.011511553353648382
1987-01-01,0.4375238110132763
1987-04-01,0.2668774063007548
1987-07-01,-0.1474038940873988
1987-10-01,-0.17365051819985883
1988-01-01,-0.06972036110678129
1988-04-01,0.5727422796512948
1988-07-01,-0.183130116910757
1988-10-01,0.4599391512811538
1989-01-01,0.31453660828732427
1989-04-01,0.13715513052520467
1989-07-01,-0.05633911185453194
1989-10-01,0.04027480952889709
1990-01-01,0.22944642184372055
1990-04-01,0.03532539646131794
1990-07-01,0.07004682339995119
1990-10-01,-0.13332735113191124
1991-01-01,0.07765407293368876
1991-04-01,0.23639621173537512
1991-07-01,0.09935956683981512
1991-10-01,0.04596407368474126
1992-01-01,0.03100960785363778
1992-04-01,0.16021229210163684
1992-07-01,-0.00978140672315804
1992-10-01,-0.22969895957717773
1993-01-01,0.08179508773234162
1993-04-01,0.3404797163678047
1993-07-01,0.30808743974815883
1993-10-01,-0.1477792926609043
1994-01-01,0.6071724977004671
1994-04-01,0.3520755223451451
1994-07-01,0.6278885569420765
1994-10-01,0.4477740763612273
1995-01-01,0.772872841819587
1995-04-01,0.23194824476665157
1995-07-01,0.0988367752997262
1995-10-01,0.00800084822723443
1996-01-01,0.14151434831706605
1996-04-01,-0.005332401639209797
1996-07-01,-0.012441486385668131
1996-10-01,0.07931188229307101
1997-01-01,0.1256811572429386
1997-04-01,0.06150181093029802
1997-07-01,-0.1232176970703009
1997-10-01,-0.06365606119670345
1998-01-01,-0.011879194429366833
1998-04-01,-0.046877473670799114
1998-07-01,-0.014981494014800922
1998-10-01,-0.26643339623943246
1999-01-01,-0.2272699900558901
1999-04-01,0.1491222079569288
1999-07-01,0.2730991659108869
1999-10-01,-0.18286131242512946
2000-01-01,0.04549547793161712
2000-04-01,0.38379081807374643
2000-07-01,-0.02545515817299611
2000-10-01,0.1443217802027545
2001-01-01,-0.42570104096212813
2001-04-01,-0.5450053405213442
2001-07-01,-0.09896920620722557
2001-10-01,-0.3566207551617367
2002-01-01,-0.4825067663124869
2002-04-01,0.2420875566636378
2002-07-01,0.12126970437607149
2002-10-01,-0.24172575055217171
2003-01-01,0.040156774268768236
2003-04-01,-0.2004864361790955
2003-07-01,-0.25998153002267943
2003-10-01,-0.3620255979024146
2004-01-01,-0.03157021487037903
2004-04-01,0.02956366533010646
2004-07-01,0.4803572206936572
2004-10-01,0.47959323787186237
2005-01-01,0.19464026216227387
2005-04-01,0.5402453952016419
2005-07-01,0.3312863230484634
2005-10-01,0.32154655664085946
2006-01-01,0.24080344593322223
2006-04-01,0.619112980935904
2006-07-01,0.15845694525400353
2006-10-01,0.01434251605288589
2007-01-01,0.10181116291286949
2007-04-01,-0.06609474422630425
2007-07-01,-0.5157730735384698
2007-10-01,-0.3442942356558068
2008-01-01,-0.9382864230412566
2008-04-01,-0.6063066078263527
2008-07-01,0.1589899395540746
2008-10-01,0.135156084265177
