MTGDATE,RESID
1969-01-01,-0.21391372576070408
1969-04-01,0.7665224936936282
1969-07-01,0.3644964956594144
1969-10-01,0.3006213589981382
1970-01-01,-0.5549360525143675
1970-04-01,0.037764629326417914
1970-07-01,-0.8642606737070399
1970-10-01,-0.703174565123946
1971-01-01,-0.8154691638913296
1971-04-01,0.8684383608628962
1971-07-01,-0.09686560107362321
1971-10-01,-1.4674706134049367
1972-01-01,-0.24297083111750864
1972-04-01,-0.3046047062582028
1972-07-01,-0.10549628499499128
1972-10-01,-0.010510655522197612
1973-01-01,0.5278988548039476
1973-04-01,0.6633225267754365
1973-07-01,-0.12809136488648493
1973-10-01,-1.1239703193279336
1974-01-01,0.7309701463086035
1974-04-01,1.0925441431130503
1974-07-01,-0.601981335364267
1974-10-01,-0.4636830418651875
1975-01-01,-0.6429384828954536
1975-04-01,-0.24478534529565033
1975-07-01,-0.1952249918055128
1975-10-01,-0.4054480963638384
1976-01-01,-0.7907859646832529
1976-04-01,-0.17887862005277655
1976-07-01,-0.2557897947766648
1976-10-01,-0.3014808811860735
1977-01-01,-0.5586761760323127
1977-04-01,-0.34151549717989194
1977-07-01,-0.22820476948579313
1977-10-01,-0.2475530962187029
1978-01-01,-0.21507171246563503
1978-04-01,-0.1536061939549501
1978-07-01,-0.3629483287400077
1978-10-01,0.27670921816107835
1979-01-01,-0.0633832523417142
1979-04-01,-0.034656215603468266
1979-07-01,0.8869814066211088
1979-10-01,0.11409833736053754
1980-01-01,1.8916859904252523
1980-04-01,-4.1045173221466325
1980-07-01,1.193358538475858
1980-10-01,2.5553654082592097
1981-01-01,-0.40277721048478976
1981-04-01,1.575597428921626
1981-07-01,-0.7400719130448676
1981-10-01,-0.7612991792825393
1982-01-01,0.6520832025955122
1982-04-01,-0.11687583819984049
1982-07-01,-0.435277735704296
1982-10-01,0.23165407117923753
1983-01-01,0.2554111534049357
1983-04-01,0.026520192945604093
1983-07-01,-0.11592392646427072
1983-10-01,0.18144921740904965
1984-01-01,0.08529182577892677
1984-04-01,0.09280745334933056
1984-07-01,0.33026928082601964
1984-10-01,-0.7952283993867213
1985-01-01,0.09682990428437749
1985-04-01,-0.18052646686744345
1985-07-01,0.22944710829244358
1985-10-01,0.006998776471587614
1986-01-01,-0.08534488710234547
1986-04-01,0.267432043329961
1986-07-01,-0.44793108552395533
1986-10-01,0.03334152002188307
1987-01-01,0.3691401811553579
1987-04-01,0.28066081067967463
1987-07-01,-0.12756327439653958
1987-10-01,-0.19561237813801696
1988-01-01,-0.07465106511545141
1988-04-01,0.5519388434485251
1988-07-01,-0.09262758855369436
1988-10-01,0.4725042691093785
1989-01-01,0.3828689353108117
1989-04-01,0.14240469973955597
1989-07-01,-0.07393749982591158
1989-10-01,0.05223773609065219
1990-01-01,0.2032986424092118
1990-04-01,0.04300836960757513
1990-07-01,0.06429469490144923
1990-10-01,-0.18905330583912427
1991-01-01,0.05748824974669686
1991-04-01,0.24527911829528748
1991-07-01,0.134562328160925
1991-10-01,-0.024218110250833313
1992-01-01,-0.044417829878970805
1992-04-01,0.13315525997492236
1992-07-01,-0.07931963561293419
1992-10-01,-0.35327736523373693
1993-01-01,0.01046802073217222
1993-04-01,0.2811021183386169
1993-07-01,0.17416368591471415
1993-10-01,-0.1900625552169235
1994-01-01,0.542425182739815
1994-04-01,0.3211190709811815
1994-07-01,0.611961765555769
1994-10-01,0.4591611793581001
1995-01-01,0.7354257636255566
1995-04-01,0.21015434479587242
1995-07-01,0.10496815764180555
1995-10-01,-0.017857862888709025
1996-01-01,0.06131233872185202
1996-04-01,-0.007458491244725821
1996-07-01,-0.037180549542374375
1996-10-01,0.05029021721708331
1997-01-01,0.11162081399699732
1997-04-01,0.08300196192102224
1997-07-01,-0.11007128645673792
1997-10-01,-0.06660231126791438
1998-01-01,-0.02592377503349147
1998-04-01,-0.036746163344412455
1998-07-01,-0.07794062680095382
1998-10-01,-0.281162208001776
1999-01-01,-0.20826583614394034
1999-04-01,0.16237774433864205
1999-07-01,0.26459860363424803
1999-10-01,-0.15427559604598415
2000-01-01,0.09261891970031222
2000-04-01,0.43280032928058687
2000-07-01,0.011687191658671325
2000-10-01,0.16634582997435504
2001-01-01,-0.5056264214263431
2001-04-01,-0.5915812085651442
2001-07-01,-0.1318333330380462
2001-10-01,-0.5308524095895651
2002-01-01,-0.5063870468379726
2002-04-01,0.16711343817841334
2002-07-01,0.05314487773383896
2002-10-01,-0.3414133531910176
2003-01-01,-0.021449793339450005
2003-04-01,-0.26570784689989696
2003-07-01,-0.2923032667586007
2003-10-01,-0.3570478008098211
2004-01-01,-0.08909995223870396
2004-04-01,-0.02187358187404677
2004-07-01,0.4517131739502096
2004-10-01,0.4353173133500161
2005-01-01,0.1657420332850806
2005-04-01,0.5041858674481206
2005-07-01,0.3381472355821781
2005-10-01,0.3493634838497354
2006-01-01,0.2445527675242756
2006-04-01,0.5931932321199531
2006-07-01,0.1509687445778471
2006-10-01,0.019560569802295702
2007-01-01,0.08339948707536624
2007-04-01,-0.07214144684735972
2007-07-01,-0.5249987121344252
2007-10-01,-0.3515233327496841
2008-01-01,-0.9732438761317455
2008-04-01,-0.6368288983212442
2008-07-01,0.0856997871719865
2008-10-01,-0.07058841739112709
2009-01-01,0.7520340406796309
2009-04-01,-0.28711842575852287
2009-07-01,-0.2528765269047769
2009-10-01,0.37114175628694834
2010-01-01,0.07450899235426392
2010-04-01,0.1477699021546286
2010-07-01,0.1649476846656665
2010-10-01,0.07184223949854122
2011-01-01,0.030074961202812944
2011-04-01,0.27934615162726123
2011-07-01,0.13623291298581014
2011-10-01,-0.25907869158081415
2012-01-01,0.20469116238183951
2012-04-01,0.22961434599112884
2012-07-01,0.048777055197160274
2012-10-01,0.08931243100868037
2013-01-01,0.01839254889467569
2013-04-01,0.5157989238740088
2013-07-01,-0.6677763154389256
2013-10-01,-0.23939011492663836
2014-01-01,-0.40901682021192776
2014-04-01,-0.41122742193881756
2014-07-01,-0.08908101638211263
2014-10-01,0.2106291354452004
2015-01-01,0.17819600647381045
2015-04-01,0.2843176458656622
2015-07-01,0.12232126376087493
2015-10-01,0.3813092315899819
2016-01-01,-0.06906055749927784
2016-04-01,-0.01618727937294484
2016-07-01,-0.2734014449140496
2016-10-01,0.2286338493447619
2017-01-01,0.2774450389966703
2017-04-01,-0.005241884798074456
2017-07-01,-0.1672274027248501
2017-10-01,0.16741933929958097
2018-01-01,0.05954909237415737
2018-04-01,0.02822676229271899
2018-07-01,-0.09918143913994809
2018-10-01,0.03172072036318968
